#Complex ac	Recommended name	Aliases for complex	Taxonomy identifier	Identifiers (and stoichiometry) of molecules in complex	Evidence Code	Experimental evidence	Go Annotations	Cross references	Description	Complex properties	Complex assembly	Ligand	Disease	Agonist	Antagonist	Comment	Source	Expanded participant list
CPX-213	Neuronal nicotinic acetylcholine receptor complex, alpha3-alpha6-beta4	neuronal nicotinic acetylcholine-gated receptor-channel complex|neuronal nicotinic cholinergic receptor complex|neuronal acetylcholine receptor; alpha3-alpha6-beta4|neuronal nicotinic acetylcholine-gated ion channel complex|neuronal nicotinic acetylcholine-gated cation channel complex|neuronal nicotinic acetylcholine-gated receptor complex|ionotropic acetylcholine receptor complex	9606	P30926-PRO_0000000389(0)|P32297-PRO_0000000346(0)|Q15825-PRO_0000000360(0)	ECO:0005610(biological system reconstruction evidence based on homology evidence used in manual assertion)	-	GO:0005892(nicotinic acetylcholine-gated receptor-channel complex)|GO:0042166(acetylcholine binding)|GO:0022848(acetylcholine-gated cation channel activity)|GO:0051899(membrane depolarization)	efo:EFO:0001071(see-also)|efo:EFO:0003768(see-also)|complex portal:CPX-205(inferred-from)|pubmed:19481063(see-also)|pubmed:19126755(see-also)|pubmed:10353988(see-also)|pubmed:25460185(see-also)|pubmed:10385679(see-also)|chembl target:CHEMBL3137285(identity)|complex portal:CPX-213(complex-primary)	A ligand-gated ion channel receptor complex that is sensitive to endogenous achetylcholine and exogenous nicotinic agents. Ligand binding causes a conformational change of the receptor resulting in the formation of a pore that is permeable to Na+ and/or Ca2+ (inward) and K+ (outward) thereby depolarising the neuron. Mediates fast, short-lived synaptic transmission of neurotransmitters. (Mainly found in chick retina). Upregulated by pro-inflammatory cytokines, like TNF-alpha.	Pentamer with uncertain stoichiometry. The alpha subunit always supplies the ‘plus’-side of the ligand binding interface and determines ligand affinity whilst any subunit can supply the ‘minus’-binding side which determines ligand selectivity. At least two ligand binding sides are present. Each subunit has four transmembrane domains and the transmembrane domains 2 line the channel influencing channel conductance and ion selectivity. Signal sequences guide cotranslational assembly in the ER membrane. Palmitoylation of cysteine residues during assembly influence cell-specific expression on the plasma membrane. N-linked, NH2-terminal glycosylation is required for insertion into the plasma membrane. Phosphorylation of the cytoplasmic loop regulates assembly, expression and function. MW ~290 kD for pentamer.	Heteropentamer	acetylcholine (CHEBI:15355)|nicotine (CHEBI:18723)	Susceptibility to nicotine dependence [EFO:0003768]: Long term nicotine use can lead to neural adaptation either through post-translational upregulation of receptors at the plasma membrane, especially the high-affinity alpha4-beta2 type, or desensitisation or permanent inactivation affecting endogenous acetylcholine activation and pre-synaptic dopamine release.|Susceptibility to develop lung cancer [EFO:0001071]	-	-	-	psi-mi:"MI:0469"(IntAct)	P30926-PRO_0000000389(0)|P32297-PRO_0000000346(0)|Q15825-PRO_0000000360(0)
CPX-218	Neuronal nicotinic acetylcholine receptor complex, alpha4-alpha5-beta2	neuronal nicotinic acetylcholine-gated receptor-channel complex|neuronal nicotinic acetylcholine-gated cation channel complex|neuronal nicotinic acetylcholine-gated receptor complex|ionotropic acetylcholine receptor complex|neuronal acetylcholine receptor; alpha4-alpha5-beta2|neuronal nicotinic acetylcholine-gated ion channel complex|neuronal nicotinic cholinergic receptor complex, alpha4-alpha5-beta2	9606	P17787-PRO_0000000379(0)|P30532-PRO_0000000356(0)|P43681-PRO_0000000351(0)	ECO:0005544(biological system reconstruction evidence based on orthology evidence used in manual assertion)	-	GO:0005892(nicotinic acetylcholine-gated receptor-channel complex)|GO:0022848(acetylcholine-gated cation channel activity)|GO:0051899(membrane depolarization)|GO:0042166(acetylcholine binding)	efo:EFO:0001071(see-also)|efo:EFO:0000474(see-also)|efo:EFO:0003768(see-also)|complex portal:CPX-215(inferred-from)|pubmed:24144909(see-also)|pubmed:20566638(see-also)|pubmed:19126755(see-also)|pubmed:10353988(see-also)|pubmed:19481063(see-also)|pubmed:25460185(see-also)|chembl target:CHEMBL3038461(identity)|complex portal:CPX-218(complex-primary)	A ligand-gated ion channel receptor complex that is sensitive to endogenous achetylcholine and exogenous nicotinic agents. Ligand binding causes a conformational change of the receptor resulting in the formation of a pore that is permeable to Na+ and/or Ca2+ (inward) and K+ (outward) thereby depolarising the neuron. Mediates fast, short-lived, predominantly post-synaptic (PMID:8461135) transmission of neurotransmitters. Mainly found in Central Nervous System. Has limited nicotine sensitivity compared to alpha4-beta2 receptor and is insensitive to pro-inflammatory cytokines, such as TNF-alpha or IL-1beta.	Pentamer with predicted stoichiometry of 2x alpha4-2x beta2-1x alpha5. The alpha subunit always supplies the ‘plus’-side of the ligand binding interface and determines ligand affinity whilst any subunit can supply the ‘minus’-binding side which determines ligand selectivity. At least two ligand binding sides are present. The alpha5 subunit can only occupy the 5th position and does not contribute to the ligand binding interfaces. Each subunit has four transmembrane domains and the transmembrane domains 2 line the channel influencing channel conductance and ion selectivity. Signal sequences guide cotranslational assembly in the ER membrane. Palmitoylation of cysteine residues during assembly influence cell-specific expression on the plasma membrane. N-linked, NH2-terminal glycosylation is required for insertion into the plasma membrane. Phosphorylation of the cytoplasmic loop regulates assembly, expression and function. MW ~290 kD for pentamer.	Heteropentamer	acetylcholine (CHEBI:15355)|nicotine (CHEBI:18723)	Epilepsy [EFO:0000474]|Susceptibility to nicotine dependence [EFO:0003768]: Long term nicotine use can lead to neural adaptation either through post-translational upregulation of receptors at the plasma membrane, especially the high-affinity alpha4-beta2 type, or desensitisation or permanent inactivation affecting endogenous acetylcholine activation and pre-synaptic dopamine release. Related to an alpha5-D398N mutation.|Susceptibility to develop lung cancer [EFO:0001071]	-	-	-	psi-mi:"MI:0469"(IntAct)	P17787-PRO_0000000379(0)|P30532-PRO_0000000356(0)|P43681-PRO_0000000351(0)
CPX-222	Positive transcription elongation factor B, CDK9-cyclinT1 complex	TAK complex|Tat-associated kinase complex|P-TEFb complex	9606	O60563(1)|P50750(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-7977776	GO:0043923(positive regulation by host of viral transcription)|GO:0008353(RNA polymerase II carboxy-terminal domain kinase activity)|GO:0061629(RNA polymerase II-specific DNA-binding transcription factor binding)|GO:0032968(positive regulation of transcription elongation from RNA polymerase II promoter)|GO:0030957(Tat protein binding)|GO:0017069(snRNA binding)|GO:0008024(positive transcription elongation factor complex b)|GO:0005634(nucleus)|GO:0004693(cyclin-dependent protein serine/threonine kinase activity)	pubmed:10866664(see-also)|intenz:2.7.11.23(identity)|intenz:2.7.11.22(identity)|wwpdb:3blr(identity)|wwpdb:3tni(identity)|wwpdb:4ec8(identity)|wwpdb:4ec9(identity)|wwpdb:4imy(identity)|wwpdb:3blh(identity)|wwpdb:3blq(identity)|wwpdb:3lq5(identity)|wwpdb:3mi9(identity)|wwpdb:3mia(identity)|wwpdb:3tn8(identity)|wwpdb:4bcf(identity)|wwpdb:3my1(identity)|wwpdb:3tnh(identity)|wwpdb:4bcg(identity)|wwpdb:4bch(identity)|wwpdb:4bci(identity)|wwpdb:4bcj(identity)|wwpdb:4or5(identity)|wwpdb:4ogr(identity)|reactome:R-HSA-112431(identity)|pubmed:9499409(see-also)|pubmed:18566585(see-also)|pubmed:16109376(see-also)|reactome:R-HSA-167183(identity)|pubmed:10733565(see-also)|pubmed:24050178(see-also)|pubmed:18513937(see-also)|pubmed:12494448(see-also)|complex portal:CPX-222(complex-primary)|rhea:RHEA:10216(identity)|rhea:RHEA:17989(identity)|rhea:RHEA:46608(identity)|signor:SIGNOR-C238(identity)	A serine kinase complex that phosphorylates elongation pausing factors such as DSIF (CPX-891) and NELF (CPX-6267) and Ser-2 and Ser-5 of RNA polymerase II (RNA Pol II), thus positively regulating productive mRNA elongation through the gene body after promoter-proximal pausing of RNA Pol II. Involved in cotranscriptional histone modification, mRNA processing and mRNA export. Potential target of anticancer drugs. Binds to the transactivation domain of the HIV-1, HIV-2 and SIV nuclear transcriptional activator, Tat, thereby increasing Tat's affinity for the transactivating response RNA element (TAR RNA) leading to RNA Pol II activation and transcription of viral genes.	Cyclin T1 and CDK9 are considerably rotated compared to cell cycle CDK/cyclin complexes. Buried surface area 1736 A2. Although expression P-TEFb complex is ubiquitous, the expression of isoforms of cyclin-T1 are partially cell type specific.	Heterodimer	-	-	-	7SK snRNA (RNAcentral:URS000055E00D)	-	psi-mi:"-"(ceitec)	O60563(1)|P50750(1)
CPX-226	Neuronal nicotinic acetylcholine receptor complex, alpha9	neuronal nicotinic acetylcholine-gated receptor-channel complex|neuronal nicotinic acetylcholine-gated ion channel complex|neuronal nicotinic cholinergic receptor complex, alpha9|neuronal acetylcholine receptor; alpha9|ionotropic acetylcholine receptor complex|neuronal nicotinic acetylcholine-gated receptor complex|neuronal nicotinic acetylcholine-gated cation channel complex	9606	Q9UGM1-PRO_0000000371(5)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0010996(response to auditory stimulus)|GO:0080164(regulation of nitric oxide metabolic process)|GO:0051899(membrane depolarization)|GO:0005892(nicotinic acetylcholine-gated receptor-channel complex)|GO:0022848(acetylcholine-gated cation channel activity)|GO:0042166(acetylcholine binding)	pubmed:19126755(see-also)|pubmed:10353988(see-also)|pubmed:19481063(see-also)|pubmed:25460185(see-also)|pubmed:11752216(see-also)|pubmed:25282151(see-also)|wwpdb:4d01(subset)|wwpdb:4uxu(subset)|wwpdb:4uy2(subset)|complex portal:CPX-226(complex-primary)	A ligand-gated ion channel receptor complex that is sensitive to endogenous achetylcholine and exogenous antagonists like alpha-bungarotoxin. Contrary to classic nicotinic acetylcholine receptors nicotine blocks acetylcholine-evoked currents in alpha9 receptors giving these receptors a pharmacological profile unknown for any other nicotinic or muscarinic cholinergic receptor subtype. Ligand binding causes a conformational change of the receptor resulting in the formation of a pore that is permeable to Na+ and/or Ca2+ (inward) and K+ (outward) thereby depolarising the neuron. Upregulated by pro-inflammatory cytokines, like TNF-alpha. Mediates fast, short-lived synaptic transmission of neurotransmitters and is less active than the alpha9-alpha10 heteropentamer (CPX-2171). Mainly found in peripheral nervous system and non-neuronal cells, esp. in the auditory system (mechanosensory hair, inner-ear tissue, the cochlea) but also in tonsils, immortalized B-cells, cultured T-cells and PBMCs, keratinocytes and in the pituitary gland. In the auditory system assembles, possibly with the alpha10 subunit, to form the receptor that mediates synaptic transmission between efferent olivocochlear cholinergic fibers which descend from the brainstem and hair cells of the cochlea.	Homopentamer. The alpha subunit always supplies the ‘plus’-side of the ligand binding interface and determines ligand affinity whilst any subunit can supply the ‘minus’-binding side which determines ligand selectivity. At least two ligand binding sides are present. Each subunit has four transmembrane domains and the transmembrane domains 2 line the channel influencing channel conductance and ion selectivity. Signal sequences guide cotranslational assembly in the ER membrane. Palmitoylation of cysteine residues during assembly influence cell-specific expression on the plasma membrane. N-linked, NH2-terminal glycosylation is required for insertion into the plasma membrane. Phosphorylation of the cytoplasmic loop regulates assembly, expression and function. MW ~290 kD for pentamer.	Homopentamer	acetylcholine (CHEBI:15355)	-	-	-	-	psi-mi:"MI:0469"(IntAct)	Q9UGM1-PRO_0000000371(5)
CPX-236	Neuronal nicotinic acetylcholine receptor complex, alpha7	neuronal nicotinic cholinergic receptor complex, alpha7|ionotropic acetylcholine receptor complex|neuronal nicotinic acetylcholine-gated receptor complex|neuronal nicotinic acetylcholine-gated cation channel complex|neuronal nicotinic acetylcholine-gated receptor-channel complex|neuronal nicotinic acetylcholine-gated ion channel complex|neuronal acetylcholine receptor; alpha7	9606	P36544-PRO_0000000366(5)	ECO:0005544(biological system reconstruction evidence based on orthology evidence used in manual assertion)	-	GO:0080164(regulation of nitric oxide metabolic process)|GO:0042166(acetylcholine binding)|GO:0005892(nicotinic acetylcholine-gated receptor-channel complex)|GO:0051899(membrane depolarization)|GO:0022848(acetylcholine-gated cation channel activity)	efo:Orphanet:199318(see-also)|efo:EFO:0000692(see-also)|protein ontology:PR:000027403(identity)|complex portal:CPX-233(inferred-from)|pubmed:10353988(see-also)|pubmed:19481063(see-also)|pubmed:10627589(see-also)|pubmed:25002271(see-also)|pubmed:19126755(see-also)|pubmed:25460185(see-also)|reactome:R-HSA-532595(identity)|complex portal:CPX-236(complex-primary)	A ligand-gated ion channel receptor complex that is sensitive to endogenous achetylcholine and exogenous agonists such as nicotine and alpha-bungarotoxin. Ligand binding causes a conformational change of the receptor resulting in the formation of a pore that is permeable to Na+ and/or Ca2+ (inward) and K+ (outward) thereby depolarising the neuron. Mediates fast, short-lived, mainly presynaptic, transmission of neurotransmitters. Found in the Central Nervous System (fore- and midbrain, cerebellum, hippocampus, hypothalamus) and autonomic ganglia (e.g. ciliary ganglia) and retina. Also located non-synaptically. Suppresses inflammatory responses and is up-regulated by pro-inflammatory cytokines, such as TNF-alpha. Promotes endothelial proliferation. CHRFAM7A (Q494W8), is a CHRNA7-FAM7A fusion protein linked to inflammatory response that acts as a negative regulator for the expression of alpha7 pentamers.	Homopentamer. The alpha subunit always supplies the ‘plus’-side of the ligand binding interface and determines ligand affinity whilst any subunit can supply the ‘minus’-binding side which determines ligand selectivity. Has five ligand binding sides, one in each protomer interface. Each subunit has four transmembrane domains and the transmembrane domains 2 line the channel influencing channel conductance and ion selectivity. Signal sequences guide cotranslational assembly in the ER membrane. Palmitoylation of cysteine residues during assembly influence cell-specific expression on the plasma membrane. N-linked, NH2-terminal glycosylation is required for insertion into the plasma membrane. Phosphorylation of the cytoplasmic loop regulates assembly, expression and function. MW ~290 kD for pentamer.	Homopentamer	acetylcholine (CHEBI:15355)|nicotine (CHEBI:18723)	15q13.3 microdeletion syndrome [Orphanet:199318]: Characterized by a wide spectrum of neurodevelopmental disorders with no or subtle dysmorphic features.Patients present with developmental delay, mainly in speech acquisition, cognitive impairment in about half of the cases, idiopathic generalized epilepsy, neurobehavioral disorders of the autistic or psychotic spectrum. Subtle dysmorphic features may be present (down-slanting palpebral fissures, prominent nasal tip, large ears, strabismus, clinodactyly of the 5th finger, pigmented naevi). Short stature, macrocephaly and hypotonia are common.Carriers with learning difficulties in childhood often function normally in adulthood.|Schizophrenia [EFO:0000692] (in mutant CHRFAM7AΔ2bp, Q494W8)	-	-	-	psi-mi:"MI:0469"(IntAct)	P36544-PRO_0000000366(5)
CPX-240	Neuronal nicotinic acetylcholine receptor complex, alpha7-beta2	neuronal nicotinic cholinergic receptor complex, alpha7-beta2|ionotropic acetylcholine receptor complex|neuronal nicotinic acetylcholine-gated receptor complex|neuronal nicotinic acetylcholine-gated cation channel complex|neuronal nicotinic acetylcholine-gated receptor-channel complex|neuronal nicotinic acetylcholine-gated ion channel complex|neuronal acetylcholine receptor; alpha7-beta2	9606	P17787-PRO_0000000379(0)|P36544-PRO_0000000366(0)	ECO:0005544(biological system reconstruction evidence based on orthology evidence used in manual assertion)	-	GO:0042166(acetylcholine binding)|GO:0005892(nicotinic acetylcholine-gated receptor-channel complex)|GO:0051899(membrane depolarization)|GO:0022848(acetylcholine-gated cation channel activity)	efo:EFO:0000474(see-also)|efo:Orphanet:199318(see-also)|complex portal:CPX-238(inferred-from)|pubmed:25002271(see-also)|pubmed:10353988(see-also)|pubmed:19481063(see-also)|pubmed:19126755(see-also)|pubmed:25460185(see-also)|complex portal:CPX-240(complex-primary)	A ligand-gated ion channel receptor complex that is sensitive to endogenous achetylcholine and exogenous agonists such as nicotine and alpha-bungarotoxin. Ligand binding causes a conformational change of the receptor resulting in the formation of a pore that is permeable to Na+ and/or Ca2+ (inward) and K+ (outward) thereby depolarising the neuron. Mediates fast, short-lived synaptic transmission of neurotransmitters but has lower activity than the alpha7 homopentamer. Found in the forebrain, hippocampus and cerebellum. Up-regulated by pro-inflammatory cytokines, such as TNF-alpha. Activity highly sensitive to beta-amyloid(1-42) peptides.	Pentamer with probable stoichiometry of 2:3. The alpha subunit always supplies the ‘plus’-side of the ligand binding interface and determines ligand affinity whilst any subunit can supply the ‘minus’-binding side which determines ligand selectivity. Has five ligand binding sides, one in each protomer interface. Each subunit has four transmembrane domains and the transmembrane domains 2 line the channel influencing channel conductance and ion selectivity. Signal sequences guide cotranslational assembly in the ER membrane. Palmitoylation of cysteine residues during assembly influence cell-specific expression on the plasma membrane. N-linked, NH2-terminal glycosylation is required for insertion into the plasma membrane. Phosphorylation of the cytoplasmic loop regulates assembly, expression and function. MW ~290 kD for pentamer.	Heteropentamer	acetylcholine (CHEBI:15355)|nicotine (CHEBI:18723)	Epilepsy [EFO:0000474]|15q13.3 microdeletion syndrome [Orphanet:199318]: Characterized by a wide spectrum of neurodevelopmental disorders with no or subtle dysmorphic features. Patients present with developmental delay, mainly in speech acquisition, cognitive impairment in about half of the cases, idiopathic generalized epilepsy, neurobehavioral disorders of the autistic or psychotic spectrum. Subtle dysmorphic features may be present (down-slanting palpebral fissures, prominent nasal tip, large ears, strabismus, clinodactyly of the 5th finger, pigmented naevi). Short stature, macrocephaly and hypotonia are common. Carriers with learning difficulties in childhood often function normally in adulthood.	-	-	-	psi-mi:"MI:0469"(IntAct)	P17787-PRO_0000000379(0)|P36544-PRO_0000000366(0)
CPX-241	Cyclin K-CDK12 complex	Cdk12/CycK	9606	O75909(1)|Q9NYV4(1)	ECO:0000353(physical interaction evidence used in manual assertion)	wwpdb:4cxa	GO:0032968(positive regulation of transcription elongation by RNA polymerase II)|GO:0005524(ATP binding)|GO:0008353(RNA polymerase II CTD heptapeptide repeat kinase activity)|GO:0002944(cyclin K-CDK12 complex)|GO:0004693(cyclin-dependent protein serine/threonine kinase activity)	efo:EFO:0000178(see-also)|rhea:RHEA:17989(identity)|rhea:RHEA:46608(identity)|rhea:RHEA:10216(identity)|intenz:2.7.11.23(identity)|wwpdb:4nst(identity)|wwpdb:4un0(identity)|intenz:2.7.11.22(identity)|reactome:R-HSA-6797095(identity)|complex portal:CPX-241(complex-primary)|signor:SIGNOR-C37(identity)	Cyclin-dependent protein kinase complex involved in regulation of different transcription phases. Phosphorylates the C-terminal domain (CTD) of RNA polymerase II (RNAP II). Preferentially phosphorylates 'Ser-5' in CTD repeats that are already phosphorylated at 'Ser-7', but can also phosphorylate 'Ser-2'. Target of various anti-cancer drugs.	CDKs have a two-lobed structure. The amino-terminal lobe contains beta-sheets, the carboxy-terminal lobe is rich in alpha-helices, and the active site is sandwiched in-between. In the cyclin-free, monomeric form the CDK catalytic cleft is closed by a region known as the T-loop, preventing enzymatic activity. Cyclin binding leads to a conformational change, enabling activation of catalytic activity. Buried molecular surface area = 2294 A.The orientation of the cyclin with respect to the kinase differs by about 25 degrees compared to the cell cycle associated Cyclin-Cdk complexes. 	Heterodimer	-	Gastric carcinoma [EFO:0000178]	-	-	-	psi-mi:"-"(ceitec)	O75909(1)|Q9NYV4(1)
CPX-255	Muscle-type nicotinic acetylcholine receptor complex, alpha1-beta1-delta-epsilon	muscle-type nicotinic acetylcholine receptor; alpha1-beta1-delta-epsilon|muscle-type nicotinic cholinergic receptor complex (foetal extrajunctional)|muscle-type nicotinic acetylcholine-gated receptor complex (foetal extrajunctional)|muscle-type nicotinic acetylcholine-gated receptor-channel complex (foetal extrajunctional)|muscle-type nicotinic acetylcholine-gated cation channel complex (foetal extrajunctional)|ionotropic acetylcholine receptor complex (foetal extrajunctional)|muscle-type nicotinic cholinergic receptor complex, alpha1-beta1-delta-epsilon|muscle-type nicotinic acetylcholine-gated ion channel complex (foetal extrajunctional)|muscle-type nicotinic acetylcholine receptor complex (foetal extrajunctional)	9606	P02708-PRO_0000000305(2)|P11230-PRO_0000000315(1)|Q04844-PRO_0000000329(1)|Q07001(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0022848(acetylcholine-gated cation channel activity)|GO:0005892(nicotinic acetylcholine-gated receptor-channel complex)|GO:0042166(acetylcholine binding)|GO:0095500(acetylcholine receptor signaling pathway)	efo:Orphanet:590(see-also)|efo:Orphanet:294060(see-also)|pubmed:15701510(see-also)|complex portal:CPX-255(complex-primary)	A ligand-gated ion channel receptor complex that is sensitive to endogenous achetylcholine and exogenous nicotinic agents. Ligand binding causes a conformational change of the receptor resulting in the formation of a pore that is permeable to Na+ and/or Ca2+ (inward) and K+ (outward) thereby depolarising the neuron and ultimately producing muscle contractions. Mediates fast, short-lived synaptic transmission of neurotransmitters at the neuromuscular junction.	Consists of 5 subunits, 2x(alpha1), beta1, epsilon and delta subunits.alpha-epsilon and alpha-delta subunit interfaces form the ligand binding sites. The alpha subunit always supplies the ‘plus’-side of the ligand binding interface and determines ligand affinity whilst the other subunits supply the ‘minus’-binding side and determine ligand selectivity. The beta1 subunit can only occupy the 5th position and does not contribute to the ligand binding interfaces. Each subunit has four transmembrane domains and the transmembrane domains 2 line the channel influencing channel conductance and ion selectivity. Signal sequences guide cotranslational assembly in the ER membrane. Signal sequences guide cotranslational assembly in the ER membrane. Palmitoylation of cysteine residues during assembly influence cell-specific expression on the plasma membrane. N-linked, NH2-terminal glycosylation is required for insertion into the plasma membrane. Phosphorylation of the cytoplasmic loop regulates assembly, expression and function. The subunits for theses receptors are highlyy conserved from rays to human but experimental evidence only exists from two ray species (CPX-2187 & CPX-2635). MW ~290 kD for pentamer.	Heteropentamer	acetylcholine (CHEBI:15355)|nicotine (CHEBI:18723)	Congenital myasthenic syndrome [Orphanet:590]: Causes general muscle weakness, especially respiratory and feeding problems.|Multiple pterygium syndrome [Orphanet:294060]: Causes either in utero lethality or severely disability due to multiple developmental defects.	-	-	-	psi-mi:"MI:0469"(IntAct)	P02708-PRO_0000000305(2)|P11230-PRO_0000000315(1)|Q04844-PRO_0000000329(1)|Q07001(1)
CPX-256	YAP1-TEAD1 transcription factor complex	TEF-1 - YAP1 complex|YAP-TEAD complex	9606	P28347(1)|P46937(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-16148305	GO:0030307(positive regulation of cell growth)|GO:0005634(nucleus)|GO:0035329(hippo signaling)|GO:0001228(DNA-binding transcription activator activity, RNA polymerase II-specific)|GO:0000977(RNA polymerase II regulatory region sequence-specific DNA binding)|GO:0140552(TEAD-YAP complex)|GO:0045944(positive regulation of transcription from RNA polymerase II promoter)|GO:0003713(transcription coactivator activity)	efo:Orphanet:86813(see-also)|wwpdb:3kys(identity)|wwpdb:4re1(identity)|reactome:R-HSA-8869643(identity)|complex portal:CPX-256(complex-primary)	Transcription factor complex of enhancer factor TEF-1 (TEAD) and coactivator YAP1. Plays key role in Hippo signaling pathway involved in organ size control and tumor supression by restricting proliferation and promoting apoptosis. Connective tissue growth factor (CTGF) has been identified as a direct target gene. Associated also with Sveinsson's chorioretinal atrophy caused by TEAD mutation.	Overall dimensions of complex are approx. 50x60x40 Aˆ3. TEAD consists of 4 alpha helices and 12 beta strands, YAP1 is composed of 2 alpha helices, 1 beta strand and one coil. 3 interfaces between TEAD and YAP1 are spread along the globular structure of TEAD. Interaction is independent of TEAD-bound DNA.	Heterodimer	-	Helicoid peripapillary chorioretinal degeneration (Atrophia areata, Sveinsson chorioretinal atrophy, SCRA) [Orphanet:86813]: Helicoid peripapillary chorioretinal degeneration is a rare autosomal dominantly inherited chorioretinal degeneration disease, presenting at birth or infancy, characterized by progressive bilateral retinal and choroidal atrophy, appearing as lesions on the optic nerve and peripheral ocular fundus and leading to central vision loss. Congenital anterior polar cataracts are sometimes associated with this disease.	-	-	-	psi-mi:"-"(ceitec)	P28347(1)|P46937(1)
CPX-261	HCN1 channel complex	K+/Na+ hyperpolarization-activated cyclic nucleotide-gated channel 1 complex|Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1 complex	9606	CHEBI:17489(4)|O60741(4)	ECO:0005544(biological system reconstruction evidence based on orthology evidence used in manual assertion)	-	GO:1990573(potassium ion import across plasma membrane)|GO:0005222(intracellular cAMP activated cation channel activity)|GO:0005242(inward rectifier potassium channel activity)|GO:0098719(sodium ion import across plasma membrane)|GO:0086091(regulation of heart rate by cardiac conduction)|GO:0071320(cellular response to cAMP)|GO:0003254(regulation of membrane depolarization)|GO:0005248(voltage-gated sodium channel activity)|GO:0051967(negative regulation of synaptic transmission, glutamatergic)|GO:0098855(HCN channel complex)|GO:0098907(regulation of SA node cell action potential)|GO:2001257(regulation of cation channel activity)	efo:EFO:0000474(see-also)|complex portal:CPX-260(inferred-from)|pubmed:22006928(see-also)|pubmed:11331358(see-also)|pubmed:21358644(see-also)|pubmed:25580535(see-also)|pubmed:19555650(see-also)|reactome:R-HSA-977551(identity)|pubmed:19181406(see-also)|pubmed:17178405(see-also)|complex portal:CPX-261(complex-primary)	Hyperpolarization-activated cyclic nucleotide-gated (HCN) ion channel that is dually activated by hyperpolarization and binding of cAMP to their cyclic nucleotide binding domain (CNBD) thereby releasing the tonic inhibition exerted by the cytoplasmic CNBD on the channel pore. Contrary to other HCN channels, HCN1 CNBD tetramerises at basal cAMP concentrations and therefore only exhibits a moderate response to cAMP binding. Located presynaptically. Exhibits weak selectivity for potassium over sodium ions and contributes to the native pacemaker currents in heart (If) and in neurons (Ih). Contrary to other ion-gated channels, HCN channels do not require an accessory unit but depolarisation activity is affected by optional accessory proteins such as TRIP8b (PEX5L, Q8IYB4) or lipids such as phosphatidylinositol-4,5-biphosphate.	Each HCN1 subunit contains a transmembrane domain (TMD), similar to other voltage-gated K+ channels, and a C-terminal cyclic nucleotide binding domain (CNBD). Tetramerisation and cAMP binding is both facilitated through the C-terminal linker (between the last TMD and the CNBD) and the CNBD itself.	Homotetramer	Sodium ion (Na+, CHEBI:29101)|Potassium ion (K+, CHEBI:29103)	Epilepsy [EFO:0000474]: A disorder characterized by recurrent seizures. Loss of HCN1 results in increased generation of dendritic Ca2+ spikes by backpropagating action potentials and high-frequency burst firing.	-	-	-	psi-mi:"MI:0469"(IntAct)	O60741(4)
CPX-262	NSFL1C-VCP complex	-	9606	P55072(6)|Q9UNZ2(3)	ECO:0005544(biological system reconstruction evidence based on orthology evidence used in manual assertion)	-	GO:0016887(ATPase activity)|GO:0005737(cytoplasm)|GO:1990730(VCP-NSFL1C complex)	complex portal:CPX-263(inferred-from)|pubmed:18208387(see-also)|pubmed:21914798(see-also)|intenz:3.6.4.6(identity)|complex portal:CPX-262(complex-primary)	Promotes membrane fusion of nucleus-, endoplasmic reticulum-, and Golgi apparatus-derived membranes.	MW ~0.72MDa	heterononamer	-	-	-	-	-	psi-mi:"MI:1332"(bhf-ucl)	P55072(6)|Q9UNZ2(3)
