A1BG	ENSG00000121410
CKAP5	ENSG00000175216
CKB	ENSG00000166165
CKLF	ENSG00000217555
CKM	ENSG00000104879
CKMT2	ENSG00000131730
CKS1B	ENSG00000173207
CKS2	ENSG00000123975
CLASRP	ENSG00000104859
CLBA1	ENSG00000140104
CLC	ENSG00000105205
CLCA1	ENSG00000016490
CLCA2	ENSG00000137975
CLCA4	ENSG00000016602
CLCC1	ENSG00000121940
CLCF1	ENSG00000175505
CLCN1	ENSG00000188037
CLCN2	ENSG00000114859
CLCN3	ENSG00000109572
CLCN4	ENSG00000073464
CLCN5	ENSG00000171365
CLCN6	ENSG00000011021
CLCN7	ENSG00000103249
CLCNKA	ENSG00000186510
CLCNKB	ENSG00000184908
CLDN1	ENSG00000163347
CLDN10	ENSG00000134873
CLDN11	ENSG00000013297
CLDN12	ENSG00000157224
CLDN14	ENSG00000159261
CLDN15	ENSG00000106404
CLDN16	ENSG00000113946
CLDN17	ENSG00000156282
CLDN18	ENSG00000066405
CLDN19	ENSG00000164007
CLDN2	ENSG00000165376
CLDN20	ENSG00000171217
CLDN22	ENSG00000177300
CLDN23	ENSG00000253958
CLDN25	ENSG00000228607
CLDN3	ENSG00000165215
CLDN4	ENSG00000189143
CLDN5	ENSG00000184113
CLDN6	ENSG00000184697
CLDN7	ENSG00000181885
CLDN8	ENSG00000156284
CLDN9	ENSG00000213937
CLDND1	ENSG00000080822
CLDND2	ENSG00000160318
CLEC10A	ENSG00000132514
CLEC11A	ENSG00000105472
CLEC12A	ENSG00000172322
CLEC12B	ENSG00000256660
CLEC14A	ENSG00000176435
CLEC16A	ENSG00000038532
CLEC17A	ENSG00000187912
CLEC18A	ENSG00000157322
CLEC18B	ENSG00000140839
CLEC1A	ENSG00000150048
CLEC1B	ENSG00000165682
CLEC2A	ENSG00000188393
CLEC2B	ENSG00000110852
CLEC2D	ENSG00000069493
CLEC2L	ENSG00000236279
CLEC3A	ENSG00000166509
CLEC3B	ENSG00000163815
CLEC4A	ENSG00000111729
CLEC4C	ENSG00000198178
CLEC4D	ENSG00000166527
CLEC4E	ENSG00000166523
CLEC4F	ENSG00000152672
CLEC4G	ENSG00000182566
CLEC4M	ENSG00000104938
CLEC5A	ENSG00000258227
CLEC6A	ENSG00000205846
CLEC7A	ENSG00000172243
CLEC9A	ENSG00000197992
CLGN	ENSG00000153132
CLHC1	ENSG00000162994
CLIC1	ENSG00000213719
CLIC2	ENSG00000155962
CLIC3	ENSG00000169583
CLIC4	ENSG00000169504
CLIC5	ENSG00000112782
CLIC6	ENSG00000159212
CLINT1	ENSG00000113282
CLIP1	ENSG00000130779
CLIP2	ENSG00000106665
CLIP3	ENSG00000105270
CLIP4	ENSG00000115295
CLK1	ENSG00000013441
CLK2	ENSG00000176444
CLK3	ENSG00000179335
CLK4	ENSG00000113240
CLMN	ENSG00000165959
CLMP	ENSG00000166250
CLN3	ENSG00000188603
CLN5	ENSG00000102805
CLN6	ENSG00000128973
CLN8	ENSG00000182372
CLNK	ENSG00000109684
CLNS1A	ENSG00000074201
CLOCK	ENSG00000134852
CLP1	ENSG00000172409
CLPB	ENSG00000162129
CLPP	ENSG00000125656
CLPS	ENSG00000137392
CLPSL1	ENSG00000204140
CLPSL2	ENSG00000196748
CLPTM1	ENSG00000104853
CLPTM1L	ENSG00000049656
CLPX	ENSG00000166855
CLRN1	ENSG00000163646
CLRN2	ENSG00000249581
CLRN3	ENSG00000180745
CLSPN	ENSG00000092853
CLSTN1	ENSG00000171603
CLSTN2	ENSG00000158258
CLSTN3	ENSG00000139182
CLTA	ENSG00000122705
CLTB	ENSG00000175416
CLTC	ENSG00000141367
CLTCL1	ENSG00000070371
CLTRN	ENSG00000147003
CLU	ENSG00000120885
CLUAP1	ENSG00000103351
CLUH	ENSG00000132361
CLUL1	ENSG00000079101
CLVS1	ENSG00000177182
CLVS2	ENSG00000146352
CLXN	ENSG00000034239
CLYBL	ENSG00000125246
CMA1	ENSG00000092009
CMAS	ENSG00000111726
CMBL	ENSG00000164237
CMC1	ENSG00000187118
CMC2	ENSG00000103121
CMC4	ENSG00000182712
CMIP	ENSG00000153815
CMKLR1	ENSG00000174600
CMKLR2	ENSG00000183671
CMPK1	ENSG00000162368
CMPK2	ENSG00000134326
CMSS1	ENSG00000184220
CMTM1	ENSG00000089505
CMTM2	ENSG00000140932
CMTM3	ENSG00000140931
CMTM4	ENSG00000183723
CMTM5	ENSG00000166091
CMTM6	ENSG00000091317
CMTM7	ENSG00000153551
CMTM8	ENSG00000170293
CMTR1	ENSG00000137200
CMTR2	ENSG00000180917
CMYA5	ENSG00000164309
CNBD1	ENSG00000176571
CNBD2	ENSG00000149646
CNBP	ENSG00000169714
CNDP1	ENSG00000150656
CNDP2	ENSG00000133313
CNEP1R1	ENSG00000205423
CNFN	ENSG00000105427
CNGA1	ENSG00000198515
CNGA2	ENSG00000183862
CNGA3	ENSG00000144191
CNGA4	ENSG00000132259
CNGB1	ENSG00000070729
CNGB3	ENSG00000170289
CNIH1	ENSG00000100528
CNIH2	ENSG00000174871
CNIH3	ENSG00000143786
CNIH4	ENSG00000143771
CNKSR1	ENSG00000142675
CNKSR2	ENSG00000149970
CNKSR3	ENSG00000153721
CNMD	ENSG00000136110
CNN1	ENSG00000130176
CNN2	ENSG00000064666
CNN3	ENSG00000117519
CNNM1	ENSG00000119946
CNNM2	ENSG00000148842
CNNM3	ENSG00000168763
CNNM4	ENSG00000158158
CNOT1	ENSG00000125107
CNOT10	ENSG00000182973
CNOT11	ENSG00000158435
CNOT2	ENSG00000111596
CNOT3	ENSG00000088038
CNOT4	ENSG00000080802
CNOT6	ENSG00000113300
CNOT6L	ENSG00000138767
CNOT7	ENSG00000198791
CNOT8	ENSG00000155508
CNOT9	ENSG00000144580
CNP	ENSG00000173786
CNPPD1	ENSG00000115649
CNPY1	ENSG00000146910
CNPY2	ENSG00000257727
CNPY3	ENSG00000137161
CNPY4	ENSG00000166997
CNR1	ENSG00000118432
CNR2	ENSG00000188822
CNRIP1	ENSG00000119865
CNST	ENSG00000162852
CNTD1	ENSG00000176563
CNTF	ENSG00000242689
CNTFR	ENSG00000122756
CNTLN	ENSG00000044459
CNTN1	ENSG00000018236
CNTN2	ENSG00000184144
CNTN3	ENSG00000113805
CNTN4	ENSG00000144619
CNTN5	ENSG00000149972
CNTN6	ENSG00000134115
CNTNAP1	ENSG00000108797
CNTNAP2	ENSG00000174469
CNTNAP3	ENSG00000106714
CNTNAP3B	ENSG00000154529
CNTNAP4	ENSG00000152910
CNTNAP5	ENSG00000155052
CNTRL	ENSG00000119397
CNTROB	ENSG00000170037
COA1	ENSG00000106603
COA3	ENSG00000183978
COA4	ENSG00000181924
COA5	ENSG00000183513
COA6	ENSG00000168275
COA7	ENSG00000162377
COA8	ENSG00000256053
COASY	ENSG00000068120
COBL	ENSG00000106078
COBLL1	ENSG00000082438
COCH	ENSG00000100473
COG1	ENSG00000166685
COG2	ENSG00000135775
COG3	ENSG00000136152
COG4	ENSG00000103051
COG5	ENSG00000164597
COG6	ENSG00000133103
COG7	ENSG00000168434
COG8	ENSG00000213380
COIL	ENSG00000121058
COL10A1	ENSG00000123500
COL11A1	ENSG00000060718
COL11A2	ENSG00000204248
COL12A1	ENSG00000111799
COL13A1	ENSG00000197467
COL14A1	ENSG00000187955
COL15A1	ENSG00000204291
COL16A1	ENSG00000084636
COL17A1	ENSG00000065618
COL18A1	ENSG00000182871
COL19A1	ENSG00000082293
COL1A1	ENSG00000108821
COL1A2	ENSG00000164692
COL20A1	ENSG00000101203
COL21A1	ENSG00000124749
COL22A1	ENSG00000169436
COL23A1	ENSG00000050767
COL24A1	ENSG00000171502
COL25A1	ENSG00000188517
COL26A1	ENSG00000160963
COL27A1	ENSG00000196739
COL28A1	ENSG00000215018
COL2A1	ENSG00000139219
COL3A1	ENSG00000168542
COL4A1	ENSG00000187498
COL4A2	ENSG00000134871
COL4A3	ENSG00000169031
COL4A4	ENSG00000081052
COL4A5	ENSG00000188153
COL4A6	ENSG00000197565
COL5A1	ENSG00000130635
COL5A2	ENSG00000204262
COL5A3	ENSG00000080573
COL6A1	ENSG00000142156
COL6A2	ENSG00000142173
COL6A3	ENSG00000163359
COL6A6	ENSG00000206384
COL7A1	ENSG00000114270
COL8A1	ENSG00000144810
COL8A2	ENSG00000171812
COL9A1	ENSG00000112280
COL9A2	ENSG00000049089
COL9A3	ENSG00000092758
COLEC10	ENSG00000184374
COLEC11	ENSG00000118004
COLEC12	ENSG00000158270
COLGALT1	ENSG00000130309
COLGALT2	ENSG00000198756
COLQ	ENSG00000206561
COMMD1	ENSG00000173163
COMMD10	ENSG00000145781
COMMD2	ENSG00000114744
COMMD3	ENSG00000148444
COMMD4	ENSG00000140365
COMMD5	ENSG00000170619
COMMD6	ENSG00000188243
COMMD7	ENSG00000149600
COMMD8	ENSG00000169019
COMMD9	ENSG00000110442
COMP	ENSG00000105664
COMT	ENSG00000093010
COMTD1	ENSG00000165644
COP1	ENSG00000143207
COPA	ENSG00000122218
COPB1	ENSG00000129083
COPB2	ENSG00000184432
COPE	ENSG00000105669
COPG1	ENSG00000181789
COPRS	ENSG00000172301
COPS2	ENSG00000166200
COPS3	ENSG00000141030
COPS4	ENSG00000138663
COPS5	ENSG00000121022
COPS6	ENSG00000168090
COPS7A	ENSG00000111652
COPS7B	ENSG00000144524
COPS8	ENSG00000198612
COPS9	ENSG00000172428
COPZ1	ENSG00000111481
COQ10A	ENSG00000135469
COQ10B	ENSG00000115520
COQ2	ENSG00000173085
COQ3	ENSG00000132423
COQ4	ENSG00000167113
COQ5	ENSG00000110871
COQ6	ENSG00000119723
COQ7	ENSG00000167186
COQ8A	ENSG00000163050
COQ8B	ENSG00000123815
COQ9	ENSG00000088682
CORIN	ENSG00000145244
CORO1A	ENSG00000102879
CORO1B	ENSG00000172725
CORO1C	ENSG00000110880
CORO2A	ENSG00000106789
CORO2B	ENSG00000103647
CORO6	ENSG00000167549
CORO7	ENSG00000262246
CORT	ENSG00000241563
COTL1	ENSG00000103187
COX10	ENSG00000006695
COX11	ENSG00000166260
COX14	ENSG00000178449
COX15	ENSG00000014919
COX16	ENSG00000133983
COX17	ENSG00000138495
COX18	ENSG00000163626
COX19	ENSG00000240230
COX20	ENSG00000203667
COX4I1	ENSG00000131143
COX4I2	ENSG00000131055
COX5A	ENSG00000178741
COX5B	ENSG00000135940
COX6A1	ENSG00000111775
COX6A2	ENSG00000156885
COX6B1	ENSG00000126267
COX6B2	ENSG00000160471
COX6C	ENSG00000164919
COX7A1	ENSG00000161281
COX7A2	ENSG00000112695
COX7A2L	ENSG00000115944
COX7B	ENSG00000131174
COX7B2	ENSG00000170516
COX7C	ENSG00000127184
COX8A	ENSG00000176340
COX8C	ENSG00000187581
CP	ENSG00000047457
CPA1	ENSG00000091704
CPA2	ENSG00000158516
CPA3	ENSG00000163751
CPA4	ENSG00000128510
CPA5	ENSG00000158525
CPA6	ENSG00000165078
CPAMD8	ENSG00000160111
CPB1	ENSG00000153002
CPB2	ENSG00000080618
CPD	ENSG00000108582
CPE	ENSG00000109472
CPEB1	ENSG00000214575
CPEB2	ENSG00000137449
CPEB3	ENSG00000107864
CPEB4	ENSG00000113742
CPED1	ENSG00000106034
CPLANE1	ENSG00000197603
CPLANE2	ENSG00000132881
CPLX1	ENSG00000168993
CPLX2	ENSG00000145920
CPLX3	ENSG00000213578
CPLX4	ENSG00000166569
CPM	ENSG00000135678
CPN1	ENSG00000120054
CPN2	ENSG00000178772
CPNE1	ENSG00000214078
CPNE2	ENSG00000140848
CPNE3	ENSG00000085719
CPNE4	ENSG00000196353
CPNE5	ENSG00000124772
CPNE6	ENSG00000100884
CPNE7	ENSG00000178773
CPNE8	ENSG00000139117
CPNE9	ENSG00000144550
CPO	ENSG00000144410
CPOX	ENSG00000080819
CPPED1	ENSG00000103381
CPQ	ENSG00000104324
CPS1	ENSG00000021826
CPSF1	ENSG00000071894
CPSF2	ENSG00000165934
CPSF3	ENSG00000119203
CPSF4	ENSG00000160917
CPSF4L	ENSG00000187959
CPSF6	ENSG00000111605
CPSF7	ENSG00000149532
CPT1A	ENSG00000110090
CPT1B	ENSG00000205560
CPT1C	ENSG00000169169
CPT2	ENSG00000157184
CPTP	ENSG00000224051
CPVL	ENSG00000106066
CPXCR1	ENSG00000147183
CPXM1	ENSG00000088882
CPXM2	ENSG00000121898
CPZ	ENSG00000109625
CR1	ENSG00000203710
CR1L	ENSG00000197721
CR2	ENSG00000117322
CRABP1	ENSG00000166426
CRABP2	ENSG00000143320
CRACD	ENSG00000109265
CRACDL	ENSG00000196872
CRACR2A	ENSG00000130038
CRACR2B	ENSG00000177685
CRADD	ENSG00000169372
CRAMP1	ENSG00000007545
CRAT	ENSG00000095321
CRB1	ENSG00000134376
CRB2	ENSG00000148204
CRB3	ENSG00000130545
CRBN	ENSG00000113851
CRCP	ENSG00000241258
CRCT1	ENSG00000169509
CREB1	ENSG00000118260
CREB3	ENSG00000107175
CREB3L1	ENSG00000157613
CREB3L2	ENSG00000182158
CREB3L3	ENSG00000060566
CREB3L4	ENSG00000143578
CREB5	ENSG00000146592
CREBBP	ENSG00000005339
CREBL2	ENSG00000111269
CREBRF	ENSG00000164463
CREBZF	ENSG00000137504
CREG1	ENSG00000143162
CREG2	ENSG00000175874
CRELD1	ENSG00000163703
CRELD2	ENSG00000184164
CREM	ENSG00000095794
CRH	ENSG00000147571
CRHBP	ENSG00000145708
CRHR1	ENSG00000120088
CRHR2	ENSG00000106113
CRIM1	ENSG00000150938
CRIP1	ENSG00000213145
CRIP2	ENSG00000182809
CRIP3	ENSG00000146215
CRIPT	ENSG00000119878
CRISP1	ENSG00000124812
CRISP2	ENSG00000124490
CRISP3	ENSG00000096006
CRISPLD1	ENSG00000121005
CRISPLD2	ENSG00000103196
CRK	ENSG00000167193
CRKL	ENSG00000099942
CRLF1	ENSG00000006016
CRLF3	ENSG00000176390
CRLS1	ENSG00000088766
CRMP1	ENSG00000072832
CRNKL1	ENSG00000101343
CRNN	ENSG00000143536
CROCC	ENSG00000058453
CROT	ENSG00000005469
CRP	ENSG00000132693
CRTAC1	ENSG00000095713
CRTAM	ENSG00000109943
CRTAP	ENSG00000170275
CRTC1	ENSG00000105662
CRTC2	ENSG00000160741
CRTC3	ENSG00000140577
CRX	ENSG00000105392
CRY1	ENSG00000008405
CRY2	ENSG00000121671
CRYAA	ENSG00000160202
CRYAB	ENSG00000109846
CRYBA1	ENSG00000108255
CRYBA2	ENSG00000163499
CRYBA4	ENSG00000196431
CRYBB1	ENSG00000100122
CRYBB2	ENSG00000244752
CRYBB3	ENSG00000100053
CRYBG1	ENSG00000112297
CRYGA	ENSG00000168582
CRYGB	ENSG00000182187
CRYGC	ENSG00000163254
CRYGD	ENSG00000118231
CRYGN	ENSG00000127377
CRYGS	ENSG00000213139
CRYL1	ENSG00000165475
CRYM	ENSG00000103316
CRYZ	ENSG00000116791
CRYZL1	ENSG00000205758
CS	ENSG00000062485
CSAD	ENSG00000139631
CSAG1	ENSG00000198930
CSDC2	ENSG00000172346
CSDE1	ENSG00000009307
CSE1L	ENSG00000124207
CSF1	ENSG00000184371
CSF1R	ENSG00000182578
CSF2	ENSG00000164400
CSF2RB	ENSG00000100368
CSF3	ENSG00000108342
CSF3R	ENSG00000119535
CSGALNACT1	ENSG00000147408
CSGALNACT2	ENSG00000169826
CSH2	ENSG00000213218
CSHL1	ENSG00000204414
CSK	ENSG00000103653
CSKMT	ENSG00000214756
CSMD1	ENSG00000183117
CSMD2	ENSG00000121904
CSMD3	ENSG00000164796
CSN1S1	ENSG00000126545
CSN2	ENSG00000135222
CSN3	ENSG00000171209
CSNK1A1	ENSG00000113712
CSNK1A1L	ENSG00000180138
CSNK1D	ENSG00000141551
CSNK1G1	ENSG00000169118
CSNK1G2	ENSG00000133275
CSNK1G3	ENSG00000151292
CSNK2A1	ENSG00000101266
CSNK2A2	ENSG00000070770
CSNK2A3	ENSG00000254598
CSNK2B	ENSG00000204435
CSPG4	ENSG00000173546
CSPG5	ENSG00000114646
CSPP1	ENSG00000104218
CSRNP1	ENSG00000144655
CSRNP2	ENSG00000110925
CSRNP3	ENSG00000178662
CSRP1	ENSG00000159176
CSRP2	ENSG00000175183
CSRP3	ENSG00000129170
CST1	ENSG00000170373
CST11	ENSG00000125831
CST2	ENSG00000170369
CST3	ENSG00000101439
CST4	ENSG00000101441
CST5	ENSG00000170367
CST6	ENSG00000175315
CST7	ENSG00000077984
CST8	ENSG00000125815
CST9	ENSG00000173335
CST9L	ENSG00000101435
CSTA	ENSG00000121552
CSTB	ENSG00000160213
CSTF1	ENSG00000101138
CSTF2	ENSG00000101811
CSTF2T	ENSG00000177613
CSTF3	ENSG00000176102
CSTL1	ENSG00000125823
CSTPP1	ENSG00000149179
CT47B1	ENSG00000236446
CT55	ENSG00000169551
CT83	ENSG00000204019
CTAG2	ENSG00000126890
CTAGE1	ENSG00000212710
CTAGE9	ENSG00000236761
CTBP1	ENSG00000159692
CTBP2	ENSG00000175029
CTBS	ENSG00000117151
CTC1	ENSG00000178971
CTCF	ENSG00000102974
CTCFL	ENSG00000124092
CTDNEP1	ENSG00000175826
CTDP1	ENSG00000060069
CTDSP1	ENSG00000144579
CTDSP2	ENSG00000175215
CTDSPL	ENSG00000144677
CTDSPL2	ENSG00000137770
CTF1	ENSG00000150281
CTH	ENSG00000116761
CTHRC1	ENSG00000164932
CTIF	ENSG00000134030
CTLA4	ENSG00000163599
CTNNA1	ENSG00000044115
CTNNA2	ENSG00000066032
CTNNA3	ENSG00000183230
CTNNAL1	ENSG00000119326
CTNNB1	ENSG00000168036
CTNNBIP1	ENSG00000178585
CTNNBL1	ENSG00000132792
CTNND1	ENSG00000198561
CTNND2	ENSG00000169862
CTNS	ENSG00000040531
CTPS1	ENSG00000171793
CTPS2	ENSG00000047230
CTR9	ENSG00000198730
CTRB1	ENSG00000168925
CTRB2	ENSG00000168928
CTRC	ENSG00000162438
CTRL	ENSG00000141086
CTSA	ENSG00000064601
CTSB	ENSG00000164733
CTSC	ENSG00000109861
CTSD	ENSG00000117984
CTSE	ENSG00000196188
CTSF	ENSG00000174080
CTSG	ENSG00000100448
CTSH	ENSG00000103811
CTSK	ENSG00000143387
CTSL	ENSG00000135047
CTSO	ENSG00000256043
CTSS	ENSG00000163131
CTSV	ENSG00000136943
CTSW	ENSG00000172543
CTSZ	ENSG00000101160
CTTN	ENSG00000085733
CTTNBP2	ENSG00000077063
CTTNBP2NL	ENSG00000143079
CTU1	ENSG00000142544
CTU2	ENSG00000174177
CTXN1	ENSG00000178531
CTXN2	ENSG00000233932
CTXN3	ENSG00000205279
CUBN	ENSG00000107611
CUEDC1	ENSG00000180891
CUEDC2	ENSG00000107874
CUL1	ENSG00000055130
CUL2	ENSG00000108094
CUL3	ENSG00000036257
CUL4A	ENSG00000139842
CUL4B	ENSG00000158290
CUL5	ENSG00000166266
CUL7	ENSG00000044090
CUL9	ENSG00000112659
CUTA	ENSG00000112514
CUTC	ENSG00000119929
CUX1	ENSG00000257923
CUX2	ENSG00000111249
CUZD1	ENSG00000138161
CWC22	ENSG00000163510
CWC25	ENSG00000273559
CWC27	ENSG00000153015
CWF19L1	ENSG00000095485
CWF19L2	ENSG00000152404
CWH43	ENSG00000109182
CX3CL1	ENSG00000006210
CX3CR1	ENSG00000168329
CXADR	ENSG00000154639
CXCL1	ENSG00000163739
CXCL10	ENSG00000169245
CXCL11	ENSG00000169248
CXCL12	ENSG00000107562
CXCL13	ENSG00000156234
CXCL14	ENSG00000145824
CXCL16	ENSG00000161921
CXCL17	ENSG00000189377
CXCL2	ENSG00000081041
CXCL3	ENSG00000163734
CXCL5	ENSG00000163735
CXCL6	ENSG00000124875
CXCL8	ENSG00000169429
CXCL9	ENSG00000138755
CXCR1	ENSG00000163464
CXCR2	ENSG00000180871
CXCR3	ENSG00000186810
CXCR4	ENSG00000121966
CXCR5	ENSG00000160683
CXCR6	ENSG00000172215
CXXC1	ENSG00000154832
CXXC4	ENSG00000168772
CXXC5	ENSG00000171604
CXorf38	ENSG00000185753
CXorf58	ENSG00000165182
CXorf65	ENSG00000204165
CXorf66	ENSG00000203933
CYB561	ENSG00000008283
CYB561A3	ENSG00000162144
CYB561D1	ENSG00000174151
CYB561D2	ENSG00000114395
CYB5A	ENSG00000166347
CYB5B	ENSG00000103018
CYB5D1	ENSG00000182224
CYB5D2	ENSG00000167740
CYB5R1	ENSG00000159348
CYB5R2	ENSG00000166394
CYB5R3	ENSG00000100243
CYB5R4	ENSG00000065615
CYB5RL	ENSG00000215883
CYBA	ENSG00000051523
CYBB	ENSG00000165168
CYBC1	ENSG00000178927
CYBRD1	ENSG00000071967
CYC1	ENSG00000179091
CYCS	ENSG00000172115
CYFIP1	ENSG00000273749
CYGB	ENSG00000161544
CYLC1	ENSG00000183035
CYLC2	ENSG00000155833
CYLD	ENSG00000083799
CYP11A1	ENSG00000140459
CYP11B1	ENSG00000160882
CYP11B2	ENSG00000179142
CYP17A1	ENSG00000148795
CYP19A1	ENSG00000137869
CYP1A1	ENSG00000140465
CYP1A2	ENSG00000140505
CYP1B1	ENSG00000138061
CYP20A1	ENSG00000119004
CYP21A2	ENSG00000231852
CYP24A1	ENSG00000019186
CYP26A1	ENSG00000095596
CYP26B1	ENSG00000003137
CYP26C1	ENSG00000187553
CYP27A1	ENSG00000135929
CYP27B1	ENSG00000111012
CYP27C1	ENSG00000186684
CYP2A13	ENSG00000197838
CYP2A6	ENSG00000255974
CYP2A7	ENSG00000198077
CYP2B6	ENSG00000197408
CYP2C18	ENSG00000108242
CYP2C19	ENSG00000165841
CYP2C8	ENSG00000138115
CYP2C9	ENSG00000138109
CYP2D6	ENSG00000100197
CYP2E1	ENSG00000130649
CYP2F1	ENSG00000197446
CYP2J2	ENSG00000134716
CYP2R1	ENSG00000186104
CYP2S1	ENSG00000167600
CYP2U1	ENSG00000155016
CYP2W1	ENSG00000073067
CYP39A1	ENSG00000146233
CYP3A4	ENSG00000160868
CYP3A43	ENSG00000021461
CYP3A5	ENSG00000106258
CYP3A7	ENSG00000160870
CYP46A1	ENSG00000036530
CYP4A11	ENSG00000187048
CYP4A22	ENSG00000162365
CYP4B1	ENSG00000142973
CYP4F11	ENSG00000171903
CYP4F12	ENSG00000186204
CYP4F2	ENSG00000186115
CYP4F22	ENSG00000171954
CYP4F3	ENSG00000186529
CYP4V2	ENSG00000145476
CYP4X1	ENSG00000186377
CYP4Z1	ENSG00000186160
CYP51A1	ENSG00000001630
CYP7A1	ENSG00000167910
CYP7B1	ENSG00000172817
CYP8B1	ENSG00000180432
CYREN	ENSG00000122783
CYRIA	ENSG00000197872
CYRIB	ENSG00000153310
CYS1	ENSG00000205795
CYSLTR1	ENSG00000173198
CYSLTR2	ENSG00000152207
CYSRT1	ENSG00000197191
CYSTM1	ENSG00000120306
CYTH1	ENSG00000108669
CYTH2	ENSG00000105443
CYTH3	ENSG00000008256
CYTH4	ENSG00000100055
CYTIP	ENSG00000115165
CYTL1	ENSG00000170891
CYYR1	ENSG00000166265
CZIB	ENSG00000162384
D2HGDH	ENSG00000180902
DAAM1	ENSG00000100592
DAAM2	ENSG00000146122
DAB1	ENSG00000173406
DAB2	ENSG00000153071
DAB2IP	ENSG00000136848
DACH1	ENSG00000276644
DACH2	ENSG00000126733
DACT1	ENSG00000165617
DACT2	ENSG00000164488
DACT3	ENSG00000197380
DAD1	ENSG00000129562
DAG1	ENSG00000173402
DAGLA	ENSG00000134780
DAGLB	ENSG00000164535
DALRD3	ENSG00000178149
DAND5	ENSG00000179284
DAO	ENSG00000110887
DAOA	ENSG00000182346
DAP	ENSG00000112977
DAP3	ENSG00000132676
DAPK1	ENSG00000196730
DAPK2	ENSG00000035664
DAPK3	ENSG00000167657
DAPL1	ENSG00000163331
DAPP1	ENSG00000070190
DARS1	ENSG00000115866
DARS2	ENSG00000117593
DAW1	ENSG00000123977
DAXX	ENSG00000204209
DAZAP1	ENSG00000071626
DAZAP2	ENSG00000183283
DAZL	ENSG00000092345
DBF4	ENSG00000006634
DBF4B	ENSG00000161692
DBH	ENSG00000123454
DBI	ENSG00000155368
DBN1	ENSG00000113758
DBNDD1	ENSG00000003249
DBNDD2	ENSG00000244274
DBNL	ENSG00000136279
DBP	ENSG00000105516
DBR1	ENSG00000138231
DBT	ENSG00000137992
DBX2	ENSG00000185610
DCAF10	ENSG00000122741
DCAF11	ENSG00000100897
DCAF12	ENSG00000198876
DCAF12L1	ENSG00000198889
DCAF12L2	ENSG00000198354
DCAF15	ENSG00000132017
DCAF16	ENSG00000163257
DCAF17	ENSG00000115827
DCAF4	ENSG00000119599
DCAF4L1	ENSG00000182308
DCAF4L2	ENSG00000176566
DCAF5	ENSG00000139990
DCAF6	ENSG00000143164
DCAF8	ENSG00000132716
DCAF8L1	ENSG00000226372
DCAF8L2	ENSG00000189186
DCAKD	ENSG00000172992
DCANP1	ENSG00000251380
DCBLD1	ENSG00000164465
DCBLD2	ENSG00000057019
DCC	ENSG00000187323
DCD	ENSG00000161634
DCDC1	ENSG00000170959
DCDC2	ENSG00000146038
DCDC2B	ENSG00000222046
DCHS1	ENSG00000166341
DCHS2	ENSG00000197410
DCK	ENSG00000156136
DCLK1	ENSG00000133083
DCLK2	ENSG00000170390
DCLK3	ENSG00000163673
DCLRE1A	ENSG00000198924
DCLRE1B	ENSG00000118655
DCLRE1C	ENSG00000152457
DCN	ENSG00000011465
DCP1B	ENSG00000151065
DCP2	ENSG00000172795
DCPS	ENSG00000110063
DCST1	ENSG00000163357
DCST2	ENSG00000163354
DCSTAMP	ENSG00000164935
DCT	ENSG00000080166
DCTD	ENSG00000129187
DCTN1	ENSG00000204843
DCTN2	ENSG00000175203
DCTN3	ENSG00000137100
DCTN4	ENSG00000132912
DCTN5	ENSG00000166847
DCTN6	ENSG00000104671
DCTPP1	ENSG00000179958
DCUN1D1	ENSG00000043093
DCUN1D2	ENSG00000150401
DCUN1D3	ENSG00000188215
DCUN1D4	ENSG00000109184
DCUN1D5	ENSG00000137692
DCX	ENSG00000077279
DCXR	ENSG00000169738
DDA1	ENSG00000130311
DDAH1	ENSG00000153904
DDAH2	ENSG00000213722
DDB1	ENSG00000167986
DDB2	ENSG00000134574
DDC	ENSG00000132437
DDHD1	ENSG00000100523
DDHD2	ENSG00000085788
DDI1	ENSG00000170967
DDI2	ENSG00000197312
DDIAS	ENSG00000165490
DDIT3	ENSG00000175197
DDIT4	ENSG00000168209
DDIT4L	ENSG00000145358
DDN	ENSG00000181418
DDO	ENSG00000203797
DDOST	ENSG00000244038
DDR1	ENSG00000204580
DDR2	ENSG00000162733
DDRGK1	ENSG00000198171
DDX1	ENSG00000079785
DDX10	ENSG00000178105
DDX11	ENSG00000013573
DDX17	ENSG00000100201
DDX18	ENSG00000088205
DDX19A	ENSG00000168872
DDX19B	ENSG00000157349
DDX20	ENSG00000064703
DDX21	ENSG00000165732
DDX23	ENSG00000174243
DDX24	ENSG00000089737
DDX25	ENSG00000109832
DDX27	ENSG00000124228
DDX28	ENSG00000182810
DDX31	ENSG00000125485
DDX39A	ENSG00000123136
DDX39B	ENSG00000198563
DDX3X	ENSG00000215301
DDX3Y	ENSG00000067048
DDX4	ENSG00000152670
DDX41	ENSG00000183258
DDX42	ENSG00000198231
DDX43	ENSG00000080007
DDX46	ENSG00000145833
DDX47	ENSG00000213782
DDX49	ENSG00000105671
DDX5	ENSG00000108654
DDX50	ENSG00000107625
DDX51	ENSG00000185163
DDX52	ENSG00000278053
DDX53	ENSG00000184735
DDX54	ENSG00000123064
DDX55	ENSG00000111364
DDX56	ENSG00000136271
DDX59	ENSG00000118197
DDX6	ENSG00000110367
DDX60	ENSG00000137628
